,_lambda,mu_tlof,mu_charge,total_charge_rate,rho,num_parks,p_blocking,effective_lambda,eff_surface_rho,airspace_capacity,Lq,var_Lq,num_tlof
51,1,45,4,16,0.0625,4,-5.727297976154677e-17,1.0,0.0625,100,0.0227618550619022,0.0232851188528869,1
52,1,45,4,20,0.05,5,-1.1111717015260814e-16,1.0000000000000002,0.05,100,0.0227294181556181,0.0232463037920017,1
53,1,45,4,24,0.0416666666666666,6,-1.1598252740163684e-16,1.0000000000000002,0.0416666666666666,100,0.0227273954952335,0.0232439423776149,1
54,1,45,4,28,0.0357142857142857,7,-1.3857459017080354e-16,1.0000000000000002,0.0357142857142857,100,0.0227272792629406,0.0232438088073023,1
55,1,45,4,32,0.03125,8,-1.1956717083441704e-16,1.0000000000000002,0.03125,100,0.0227272730450923,0.0232438014464415,1
56,1,60,4,4,0.25,1,4.640385298237959e-17,1.0,0.25,100,0.1224806201544005,0.1904020189415146,1
57,1,60,4,8,0.125,2,7.37257477290143e-17,1.0,0.1249999999999999,100,0.0231641676296746,0.0255032860327135,1
58,1,60,4,12,0.0833333333333333,3,-8.104411239329146e-17,1.0,0.0833333333333333,100,0.0173639700143299,0.0177455969242549,1
59,1,60,4,16,0.0625,4,-1.4543216891177435e-16,1.0000000000000002,0.0625,100,0.0169748726493375,0.0172667260295884,1
60,1,60,4,20,0.05,5,-5.958114454281474e-17,1.0,0.05,100,0.0169506029848276,0.0172380938992679,1
61,1,60,4,24,0.0416666666666666,6,-8.624150655764383e-17,1.0,0.0416666666666666,100,0.0169492273552408,0.0172365116469912,1
62,1,60,4,28,0.0357142857142857,7,5.1377630448656835e-17,1.0,0.0357142857142857,100,0.0169491561060644,0.0172364303586337,1
63,1,60,4,32,0.03125,8,6.863338565012145e-17,1.0,0.0312499999999999,100,0.016949152687197,0.0172364256982839,1
64,1,90,4,4,0.25,1,-7.502679033599691e-17,1.0,0.25,100,0.1089482612389448,0.169740329520627,1
65,1,90,4,8,0.125,2,1.962405932198763e-16,0.9999999999999998,0.1249999999999999,100,0.0166302666537064,0.0184460695943204,1
66,1,90,4,12,0.0833333333333333,3,1.362028979184915e-16,1.0,0.0833333333333333,100,0.0115675549975502,0.0117638413127764,1
67,1,90,4,16,0.0625,4,-1.1905895106606449e-17,1.0,0.0625,100,0.0112546482969213,0.0113839243134664,1
68,1,90,4,20,0.05,5,-2.1946623663358922e-17,1.0,0.05,100,0.0112369025443787,0.011363275888288,1
69,1,90,4,24,0.0416666666666666,6,7.352076575577876e-17,1.0,0.0416666666666666,100,0.0112359985196705,0.0113622509242345,1
70,1,90,4,28,0.0357142857142857,7,-8.554016327731727e-17,1.0,0.0357142857142857,100,0.0112359568712809,0.01136220332639,1
71,1,90,4,32,0.03125,8,3.0037482375532e-17,1.0,0.03125,100,0.0112359551430816,0.011362202807107,1
72,1,120,4,4,0.25,1,-3.5952144039619327e-16,1.0000000000000004,0.2500000000000001,100,0.1023674242364564,0.1598651370787899,1
73,1,120,4,8,0.125,2,-3.944327503502265e-16,1.0000000000000004,0.125,100,0.0134150073286544,0.0150142669422467,1
74,1,120,4,12,0.0833333333333333,3,-3.5969762324922216e-16,1.0000000000000004,0.0833333333333333,100,0.0086980891330874,0.0088286557557078,1
75,1,120,4,16,0.0625,4,1.8396200361647792e-16,0.9999999999999998,0.0624999999999999,100,0.0084191372037192,0.0084921903018154,1
76,1,120,4,20,0.05,5,2.0828540172983245e-18,1.0,0.05,100,0.0084041154606606,0.0084748275621175,1
77,1,120,4,24,0.0416666666666666,6,-1.9777372285440659e-16,1.0000000000000002,0.0416666666666666,100,0.0084033937565278,0.0084740139660374,1
78,1,120,4,28,0.0357142857142857,7,2.5640703752924376e-16,0.9999999999999998,0.0357142857142857,100,0.0084033626184131,0.0084739796798504,1
79,1,120,4,32,0.03125,8,-7.801596960685732e-17,1.0,0.03125,100,0.0084033613806656,0.0084739772836643,1
80,1,30,6,6,0.1666666666666666,1,-1.3487475025719675e-16,1.0000000000000002,0.1666666666666667,100,0.0956521738936588,0.1256710763533374,1
81,1,30,6,12,0.0833333333333333,2,9.90960785651751e-17,1.0,0.0833333333333333,100,0.0381701631763636,0.0403872738348343,1
82,1,30,6,18,0.0555555555555555,3,2.065405138584886e-17,1.0,0.0555555555555555,100,0.0347319104806026,0.0359743131901735,1
83,1,30,6,24,0.0416666666666666,4,-1.6425662913155392e-17,1.0,0.0416666666666666,100,0.0344988027534555,0.0356908011047895,1
84,1,30,6,30,0.0333333333333333,5,-1.2663947242751682e-16,1.0000000000000002,0.0333333333333333,100,0.0344837285902346,0.0356729492653586,1
85,1,30,6,36,0.0277777777777777,6,-3.846207206892327e-17,1.0,0.0277777777777777,100,0.0344828139822914,0.0356718830882998,1
86,1,30,6,42,0.0238095238095238,7,4.140032348383003e-18,1.0,0.0238095238095238,100,0.0344827616253003,0.0356718225362315,1
87,1,30,6,48,0.0208333333333333,8,1.0814916670542908e-16,1.0,0.0208333333333333,100,0.0344827587842706,0.0356718198626401,1
88,1,45,6,6,0.1666666666666666,1,3.3393426912553537e-17,1.0,0.1666666666666666,100,0.073395931145228,0.0958686182864088,1
89,1,45,6,12,0.0833333333333333,2,2.8406096919120216e-17,1.0,0.0833333333333333,100,0.0253682952224188,0.0265274333802483,1
90,1,45,6,18,0.0555555555555555,3,-2.0599841277224584e-17,1.0,0.0555555555555555,100,0.0228776685764259,0.0234211261033116,1
91,1,45,6,24,0.0416666666666666,4,-2.5939536976715697e-17,1.0,0.0416666666666666,100,0.0227352913098948,0.0232530082016715,1
92,1,45,6,30,0.0333333333333333,5,-2.8311229229027735e-17,1.0,0.0333333333333333,100,0.0227276679795224,0.0232442481712436,1
93,1,45,6,36,0.0277777777777777,6,1.0773496759422171e-16,1.0,0.0277777777777777,100,0.0227272908701033,0.0232438218794349,1
94,1,45,6,42,0.0238095238095238,7,-1.2823401195072304e-16,1.0000000000000002,0.0238095238095238,100,0.0227272735054547,0.0232438022309185,1
95,1,45,6,48,0.0208333333333333,8,-5.38712954453735e-17,1.0,0.0208333333333333,100,0.0227272727633844,0.0232438019401132,1
96,1,60,6,6,0.1666666666666666,1,-2.167320142798523e-16,1.0000000000000002,0.1666666666666667,100,0.0628472222267843,0.0822020885272644,1
97,1,60,6,12,0.0833333333333333,2,8.902655088821597e-17,1.0,0.0833333333333333,100,0.0191493662468763,0.019934783075046,1
98,1,60,6,18,0.0555555555555555,3,1.566672139241554e-17,1.0,0.0555555555555555,100,0.017062591404745,0.0173682789208701,1
99,1,60,6,24,0.0416666666666666,4,2.580096238654489e-16,0.9999999999999998,0.0416666666666666,100,0.0169545650023587,0.0172425514451723,1
100,1,60,6,30,0.0333333333333333,5,-1.2256905559948628e-16,1.0000000000000002,0.0333333333333333,100,0.0169493888378732,0.0172366896717756,1
101,1,60,6,36,0.0277777777777777,6,-4.5055376530350744e-17,1.0,0.0277777777777777,100,0.0169491620594781,0.0172364368158868,1
102,1,60,6,42,0.0238095238095238,7,7.995991022080594e-17,1.0,0.0238095238095238,100,0.0169491528985098,0.0172364266570372,1
103,1,60,6,48,0.0208333333333333,8,-1.398281989327399e-17,1.0,0.0208333333333333,100,0.0169491525579995,0.0172364265008737,1
104,1,90,6,6,0.1666666666666666,1,-1.8214596497756472e-16,1.0000000000000002,0.1666666666666667,100,0.0526636225077219,0.0692912980347387,1
105,1,90,6,12,0.0833333333333333,2,2.580401170515501e-17,1.0,0.0833333333333333,100,0.0130455474504083,0.0135521562812635,1
106,1,90,6,18,0.0555555555555555,3,5.2583805365546965e-17,1.0,0.0555555555555555,100,0.0113193834735889,0.0114578360625906,1
107,1,90,6,24,0.0416666666666666,4,-1.984767602006277e-17,1.0,0.0416666666666666,100,0.0112394625881502,0.0113661140326218,1
108,1,90,6,30,0.0333333333333333,5,-2.168192586734195e-16,1.0000000000000002,0.0333333333333333,100,0.0112360882211569,0.0113623484247957,1
109,1,90,6,36,0.0277777777777777,6,-2.0984055422099135e-16,1.0000000000000002,0.0277777777777777,100,0.011235959665925,0.0113622069115487,1
110,1,90,6,42,0.0238095238095238,7,-2.3648884601632213e-16,1.0000000000000002,0.0238095238095238,100,0.0112359551940954,0.0113622013421694,1
111,1,90,6,48,0.0208333333333333,8,-3.7269449679189215e-18,1.0,0.0208333333333333,100,0.011235955049286,0.0113622010726475,1
112,1,120,6,6,0.1666666666666666,1,-1.6740081543176186e-16,1.0000000000000002,0.1666666666666667,100,0.0477040816462878,0.0631047618283575,1
113,1,120,6,12,0.0833333333333333,2,-4.109126233720062e-17,1.0,0.0833333333333333,100,0.0100354008872838,0.0104363377279375,1
114,1,120,6,18,0.0555555555555555,3,8.85386599105975e-17,1.0,0.0555555555555555,100,0.0084741026170919,0.0085545258241392,1
115,1,120,6,24,0.0416666666666666,4,7.124563525945371e-17,1.0,0.0416666666666666,100,0.0084061325637837,0.0084770491222196,1
